Date;Hour;Stock;Shares;Transaction;Value;money;kind;Sum
02/01/12;09:02:00;Lafarge (LG);19;Acquired;27,16;EUR;cost;516,04
30/12/11;16:09:00;Baxter International (BAX);5;Acquired;49,79;USD;cost;248,95
30/12/11;16:00:00;General Electric (GE);15;Acquired;18,05;USD;cost;270,675
30/12/11;16:00:00;Bank of America (BAC);51;Acquired;5,44;USD;cost;277,44
30/12/11;04:34:00;Hong Kong Exchanges and Clearing (388);100;Acquired;124,3;HKD;cost;12430
28/12/11;21:32:00;Capital One (COF);30;Sold;41,77;USD;income;1253,1
28/12/11;21:32:00;IBM (IBM);7;Sold;183,34;USD;income;1283,38
28/12/11;21:32:00;Dell (DELL);87;Sold;14,64;USD;income;1273,68
28/12/11;17:02:00;Veolia Environnement (VIE);136;Sold;8,16;EUR;income;1109,624
27/12/11;15:33:00;IBM (IBM);7;Acquired;184,75;USD;cost;1293,25
27/12/11;15:32:00;Dell (DELL);87;Acquired;14,86;USD;cost;1292,82
27/12/11;15:32:00;Capital One (COF);30;Acquired;42,89;USD;cost;1286,7
27/12/11;09:31:00;Veolia Environnement (VIE);136;Acquired;8,42;EUR;cost;1144,44
23/12/11;21:32:00;Occidental Petroleum (OXY);3;Sold;94,03;USD;income;282,09
23/12/11;21:32:00;Avon (AVP);16;Sold;17,43;USD;income;278,88
23/12/11;21:32:00;Oracle (ORCL);10;Sold;26,01;USD;income;260,1
23/12/11;08:32:00;PetroChina (857);2000;Sold;9,46;HKD;income;18920
22/12/11;16:08:00;Avon (AVP);16;Acquired;17,17;USD;cost;274,72
22/12/11;16:01:00;Occidental Petroleum (OXY);3;Acquired;93,11;USD;cost;279,33
22/12/11;16:00:00;Oracle (ORCL);10;Acquired;25,71;USD;cost;257,1
22/12/11;04:30:00;PetroChina (857);2000;Acquired;9,29;HKD;cost;18580
20/12/11;21:32:00;Exxon Mobil (XOM);21;Sold;81,94;USD;income;1720,74
20/12/11;21:32:00;Colgate-Palmolive (CL);19;Sold;91,47;USD;income;1737,93
20/12/11;17:02:00;EDF (EDF);62;Sold;18,25;EUR;income;1131,252
19/12/11;21:43:00;Colgate-Palmolive (CL);19;Acquired;89,89;USD;cost;1707,91
19/12/11;21:32:00;Dell (DELL);29;Sold;14,66;USD;income;425,14
19/12/11;16:00:00;Exxon Mobil (XOM);21;Acquired;80,05;USD;cost;1681,05
19/12/11;09:30:00;EDF (EDF);62;Acquired;17,96;EUR;cost;1113,458
16/12/11;21:32:00;AT&T (T);14;Sold;28,76;USD;income;402,64
16/12/11;21:32:00;Williams Companies (WMB);13;Sold;30,83;USD;income;400,79
16/12/11;18:03:00;Dell (DELL);29;Acquired;15,05;USD;cost;436,45
16/12/11;08:32:00;Tencent (700);100;Sold;153,2;HKD;income;15320
15/12/11;20:18:00;Williams Companies (WMB);13;Acquired;30,59;USD;cost;397,67
15/12/11;16:16:00;AT&T (T);14;Acquired;28,81;USD;cost;403,34
15/12/11;04:30:00;Tencent (700);100;Acquired;149,5;HKD;cost;14950
13/12/11;21:32:00;(KFT);32;Sold;36,31;;income;1161,92
13/12/11;21:32:00;QUALCOMM (QCOM);21;Sold;53,98;USD;income;1133,58
13/12/11;21:32:00;Boeing (BA);16;Sold;70,98;USD;income;1135,68
13/12/11;17:02:00;Deutsche Post (DPW);106;Sold;10,76;EUR;income;1140,666
12/12/11;16:00:00;QUALCOMM (QCOM);21;Acquired;54,12;USD;cost;1136,52
12/12/11;16:00:00;Boeing (BA);16;Acquired;71,66;USD;cost;1146,56
12/12/11;16:00:00;(KFT);32;Acquired;36,44;;cost;1166,08
12/12/11;11:12:00;Deutsche Post (DPW);106;Acquired;10,84;EUR;cost;1149,04
09/12/11;21:31:00;Sara Lee (SLE);20;Sold;18,9;USD;income;378
09/12/11;21:31:00;Amgen (AMGN);6;Sold;58,6;USD;income;351,6
09/12/11;21:31:00;Altria (MO);13;Sold;28,76;USD;income;373,88
08/12/11;19:03:00;Amgen (AMGN);6;Acquired;58,34;USD;cost;350,04
